epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,26614.3,1.28051,2.60248,1.00403,1.09825,0.48572,0.31511,0.33169,0.20497,0.45805,0.29477,0.30443,0.16942,1.47087,2.86144,1.15724,1.13801,0.000172304,0.000172304,0.000172304
63,27044.1,1.27364,2.58997,0.99775,1.09673,0.46395,0.31706,0.33134,0.20374,0.46375,0.2886,0.30637,0.16953,1.4751,2.86163,1.16242,1.1345,0.000167997,0.000167997,0.000167997
64,27472.2,1.27852,2.60571,0.99803,1.09523,0.475,0.32015,0.33423,0.20597,0.45206,0.29331,0.30551,0.17049,1.46705,2.85139,1.15213,1.13338,0.000163691,0.000163691,0.000163691
65,27902.8,1.26766,2.58066,0.99193,1.09465,0.48348,0.32105,0.33432,0.20634,0.45338,0.29799,0.30824,0.17076,1.46824,2.85447,1.15532,1.13435,0.000159384,0.000159384,0.000159384
66,28335.9,1.27219,2.58811,0.99193,1.09275,0.48064,0.31808,0.33567,0.20783,0.44904,0.29508,0.30704,0.17213,1.46478,2.84667,1.14834,1.13328,0.000155078,0.000155078,0.000155078
67,28769.7,1.26932,2.58169,0.98574,1.09108,0.49784,0.315,0.33686,0.208,0.48018,0.28871,0.30724,0.17227,1.46777,2.85682,1.15166,1.13412,0.000150771,0.000150771,0.000150771
68,29195.4,1.26203,2.57166,0.98416,1.0894,0.48153,0.31944,0.33682,0.20797,0.45988,0.29424,0.30878,0.17213,1.46496,2.84484,1.14644,1.13027,0.000146464,0.000146464,0.000146464
69,29624.8,1.26356,2.57482,0.98223,1.08948,0.47895,0.32314,0.33686,0.20828,0.46396,0.2914,0.30824,0.17197,1.46724,2.84402,1.1495,1.13427,0.000142158,0.000142158,0.000142158
70,30046.6,1.26101,2.56689,0.98121,1.09103,0.4919,0.31617,0.3352,0.20734,0.48715,0.28479,0.30728,0.17143,1.46473,2.84741,1.1501,1.13247,0.000137852,0.000137852,0.000137852
71,30473.2,1.26656,2.58246,0.98143,1.08866,0.4818,0.32056,0.33687,0.20833,0.46639,0.2933,0.30924,0.17254,1.4639,2.84107,1.14394,1.13201,0.000133545,0.000133545,0.000133545
72,30900.3,1.26807,2.57943,0.98379,1.09085,0.47712,0.31811,0.33572,0.20639,0.45986,0.28852,0.30583,0.17062,1.46814,2.84892,1.1507,1.13016,0.000129239,0.000129239,0.000129239
73,31322.3,1.26163,2.56444,0.97522,1.08772,0.47589,0.32154,0.33649,0.20765,0.46098,0.29027,0.30734,0.17131,1.46425,2.84664,1.14462,1.13172,0.000124932,0.000124932,0.000124932
74,31746,1.25595,2.56343,0.97666,1.08731,0.47798,0.32321,0.33836,0.2084,0.4596,0.29459,0.30979,0.17358,1.46646,2.84733,1.14124,1.13317,0.000120626,0.000120626,0.000120626
